

Kopieren Sie folgende Adresse und fügen Sie sie in Ihren Browser ein, um diese gestaltbare Tabelle erneut aufzurufen. (Der Link ist 7 Tage gültig.)
http://www.gbe-bund.de/gbe10/i?i=656:36406946D
 
Bei den Ärztekammern registrierte Ärztinnen und Ärzte mit Gebiets- und Facharztbezeichnung (absolut, je 100.000 Einwohner und Einwohner je Arzt). Gliederungsmerkmale: Jahre, Region, Alter, Geschlecht, Gebiets-/Facharztbezeichnung, Tätigkeitsbereich                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
****************************************************************************************************
                                                                                                    
Diese Tabelle bezieht sich auf:
Region:;Deutschland
Geschlecht:;Beide Geschlechter
Tätigkeitsbereich:;Tätigkeitsbereiche insgesamt
Darstellung:;Anzahl Ärzte/Ärztinnen
""
;;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"       Augenheilkunde";".";".";".";".";".";".";".";".";".";".";".";".";"1.511";"1.662";"1.819";"1.899";"1.928";"1.957";"1.972";"2.001";"2.008";"1.992";"1.956";"1.887";"1.838";"1.872";"1.933";"1.971";"2.077";"2.119";"2.186";"2.254";"2.315";"2.382";"2.493";"2.555";"2.579";"2.581";"2.580";
;"    Biochemie";".";".";".";".";".";".";".";".";".";".";".";".";"22";"41";"35";"33";"38";"36";"36";"36";"32";"29";"27";"27";"29";"27";"30";"32";"31";"33";"30";"31";"31";"29";"25";"24";"23";"20";"20";
;"       Biochemie";".";".";".";".";".";".";".";".";".";".";".";".";"22";"41";"35";"33";"38";"36";"36";"36";"32";"29";"27";"27";"29";"27";"30";"32";"31";"33";"30";"31";"31";"29";"25";"24";"23";"20";"20";
;"    Chirurgie";".";".";".";".";".";".";".";".";".";".";".";".";"5.354";"5.762";"6.249";"6.633";"6.723";"6.850";"7.063";"7.177";"7.311";"7.433";"7.536";"7.728";"7.761";"7.892";"8.327";"8.705";"9.015";"9.386";"9.712";"9.989";"10.405";"10.989";"11.422";"11.948";"12.273";"12.669";"12.964";
;"       Allgemeinchirurgie";".";".";".";".";".";".";".";".";".";".";".";".";"3.848";"4.112";"4.416";"4.620";"4.653";"4.663";"4.789";"4.862";"4.943";"4.999";"5.040";"5.157";"5.168";"5.239";"5.498";"5.686";"5.728";"5.819";"5.864";"5.885";"5.943";"6.085";"6.234";"6.332";"6.377";"6.344";"6.329";
;"       Gefäßchirurgie";".";".";".";".";".";".";".";".";".";".";".";".";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2";"3";"8";"14";"25";"34";"54";"76";"89";"113";"145";"175";
;"       Herzchirurgie";".";".";".";".";".";".";".";".";".";".";".";".";"2";"6";"6";"9";"14";"16";"22";"28";"40";"53";"59";"68";"76";"86";"94";"99";"114";"128";"146";"164";"186";"249";"267";"303";"350";"395";"415";
;"       Kinderchirurgie";".";".";".";".";".";".";".";".";".";".";".";".";"31";"30";"37";"34";"37";"46";"54";"57";"53";"58";"68";"68";"72";"83";"102";"112";"124";"136";"150";"154";"171";"185";"199";"197";"194";"204";"209";
;"       Orthopädie und Unfallchirurgie";".";".";".";".";".";".";".";".";".";".";".";".";"1.473";"1.614";"1.790";"1.965";"2.010";"2.103";"2.155";"2.179";"2.217";"2.252";"2.283";"2.340";"2.339";"2.371";"2.499";"2.657";"2.890";"3.103";"3.319";"3.510";"3.797";"4.083";"4.247";"4.540";"4.697";"4.933";"5.085";
;"       Plastische und Ästhetische Chirurgie";".";".";".";".";".";".";".";".";".";".";".";".";"";"";"";"5";"9";"22";"43";"51";"58";"71";"86";"95";"106";"113";"133";"145";"148";"161";"172";"185";"182";"199";"216";"245";"255";"283";"300";
;"       Thoraxchirurgie";".";".";".";".";".";".";".";".";".";".";".";".";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"2";"6";"6";"12";"15";"18";"30";"37";"46";"57";"71";
;"       Viszeralchirurgie";".";".";".";".";".";".";".";".";".";".";".";".";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"3";"6";"25";"41";"54";"77";"116";"153";"205";"241";"308";"380";
;"    Frauenheilkunde und Geburtshilfe";".";".";".";".";".";".";".";".";".";".";".";".";"3.716";"4.117";"4.520";"4.725";"4.851";"4.900";"5.015";"5.035";"5.048";"4.988";"4.829";"4.802";"4.720";"4.741";"4.877";"5.023";"5.126";"5.289";"5.382";"5.504";"5.775";"5.993";"6.225";"6.458";"6.596";"6.694";"6.784";
;"       Frauenheilkunde und Geburtshilfe";".";".";".";".";".";".";".";".";".";".";".";".";"3.716";"4.117";"4.520";"4.725";"4.851";"4.900";"5.015";"5.035";"5.048";"4.988";"4.829";"4.802";"4.720";"4.741";"4.877";"5.023";"5.126";"5.289";"5.382";"5.504";"5.775";"5.993";"6.225";"6.458";"6.596";"6.694";"6.784";
;"    Hals-Nasen-Ohrenheilkunde";".";".";".";".";".";".";".";".";".";".";".";".";"1.271";"1.355";"1.502";"1.548";"1.538";"1.521";"1.526";"1.546";"1.534";"1.521";"1.503";"1.492";"1.441";"1.454";"1.525";"1.590";"1.653";"1.729";"1.792";"1.848";"1.951";"2.028";"2.079";"2.130";"2.161";"2.180";"2.198";
;"       Hals-Nasen-Ohrenheilkunde";".";".";".";".";".";".";".";".";".";".";".";".";"1.271";"1.355";"1.502";"1.548";"1.535";"1.510";"1.511";"1.528";"1.511";"1.496";"1.479";"1.469";"1.416";"1.422";"1.486";"1.547";"1.605";"1.674";"1.734";"1.788";"1.885";"1.958";"2.002";"2.053";"2.074";"2.092";"2.103";
;"       Sprach-, Stimm- und kindliche Hörstörungen";".";".";".";".";".";".";".";".";".";".";".";".";"";"";"";"";"3";"11";"15";"18";"23";"25";"24";"23";"25";"32";"39";"43";"48";"55";"58";"60";"66";"70";"77";"77";"87";"88";"95";
;"    Haut- und Geschlechtskrankheiten";".";".";".";".";".";".";".";".";".";".";".";".";"1.074";"1.195";"1.293";"1.336";"1.343";"1.336";"1.354";"1.351";"1.355";"1.338";"1.339";"1.316";"1.291";"1.328";"1.390";"1.422";"1.488";"1.549";"1.619";"1.685";"1.765";"1.880";"1.949";"2.024";"2.107";"2.188";"2.200";
;"       Haut- und Geschlechtskrankheiten";".";".";".";".";".";".";".";".";".";".";".";".";"1.074";"1.195";"1.293";"1.336";"1.343";"1.336";"1.354";"1.351";"1.355";"1.338";"1.339";"1.316";"1.291";"1.328";"1.390";"1.422";"1.488";"1.549";"1.619";"1.685";"1.765";"1.880";"1.949";"2.024";"2.107";"2.188";"2.200";
;"    Humangenetik";".";".";".";".";".";".";".";".";".";".";".";".";"2";"1";"4";"9";"18";"36";"43";"46";"46";"47";"48";"49";"45";"53";"61";"67";"71";"78";"79";"81";"89";"105";"116";"117";"116";"119";"130";
;"       Humangenetik";".";".";".";".";".";".";".";".";".";".";".";".";"2";"1";"4";"9";"18";"36";"43";"46";"46";"47";"48";"49";"45";"53";"61";"67";"71";"78";"79";"81";"89";"105";"116";"117";"116";"119";"130";
;"    Hygiene und Umweltmedizin";".";".";".";".";".";".";".";".";".";".";".";".";"189";"209";"258";"224";"199";"181";"165";"151";"134";"106";"98";"78";"71";"68";"72";"79";"88";"95";"95";"99";"99";"99";"101";"105";"106";"104";"98";
;"       Hygiene und Umweltmedizin";".";".";".";".";".";".";".";".";".";".";".";".";"189";"209";"258";"224";"199";"181";"165";"151";"134";"106";"98";"78";"71";"68";"72";"79";"88";"95";"95";"99";"99";"99";"101";"105";"106";"104";"98";
;"    Innere Medizin";".";".";".";".";".";".";".";".";".";".";".";".";"8.921";"9.753";"10.711";"11.307";"11.354";"11.489";"11.612";"11.501";"11.467";"11.402";"11.294";"11.126";"10.958";"10.949";"11.366";"11.753";"12.206";"12.728";"13.248";"13.767";"14.330";"15.318";"15.990";"16.812";"17.338";"17.921";"18.409";
;"       Innere Medizin";".";".";".";".";".";".";".";".";".";".";".";".";"8.710";"9.519";"10.465";"11.069";"11.074";"11.246";"11.361";"11.257";"11.214";"11.150";"11.043";"10.876";"10.691";"10.685";"11.086";"11.456";"11.899";"12.417";"12.920";"13.420";"13.954";"14.913";"15.545";"16.317";"16.752";"17.217";"17.338";
;"       Innere Medizin und Angiologie";".";".";".";".";".";".";".";".";".";".";".";".";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"5";"8";"13";"17";"19";"24";"32";"38";
;"       Innere Medizin und Endokrinologie und Diabetologie";".";".";".";".";".";".";".";".";".";".";".";".";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2";"3";"4";"6";"6";"8";"12";"15";"17";"21";"26";"36";
;"       Innere Medizin und Gastroenterologie";".";".";".";".";".";".";".";".";".";".";".";".";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"3";"4";"4";"7";"10";"19";"24";"39";"47";"68";"93";"115";"194";
;"       Innere Medizin und Geriatrie";".";".";".";".";".";".";".";".";".";".";".";".";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"1";"2";"9";"10";"15";"18";"23";"26";"26";"35";
;"       Innere Medizin und Hämatologie und Onkologie";".";".";".";".";".";".";".";".";".";".";".";".";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"3";"8";"16";"22";"29";"33";"46";"67";"116";
;"       Innere Medizin und Kardiologie";".";".";".";".";".";".";".";".";".";".";".";".";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"4";"4";"8";"16";"30";"47";"66";"91";"133";"174";"298";
;"       Innere Medizin und Nephrologie";".";".";".";".";".";".";".";".";".";".";".";".";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"2";"4";"6";"10";"11";"21";"26";"31";"35";"47";"64";"99";
;"       Innere Medizin und Pneumologie";".";".";".";".";".";".";".";".";".";".";".";".";"211";"234";"246";"238";"280";"243";"251";"244";"253";"252";"251";"250";"267";"264";"275";"284";"289";"287";"281";"267";"249";"219";"206";"185";"166";"162";"197";
;"       Innere Medizin und Rheumatologie";".";".";".";".";".";".";".";".";".";".";".";".";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"1";"1";"2";"4";"6";"10";"12";"16";"24";"30";"38";"58";
;"    Kinder- und Jugendmedizin";".";".";".";".";".";".";".";".";".";".";".";".";"3.397";"3.704";"4.040";"4.201";"4.211";"4.102";"4.098";"4.011";"3.906";"3.753";"3.646";"3.503";"3.384";"3.362";"3.509";"3.659";"3.835";"4.006";"4.098";"4.229";"4.369";"4.537";"4.706";"4.844";"4.832";"4.887";"4.918";
;"       Kinder- und Jugendmedizin";".";".";".";".";".";".";".";".";".";".";".";".";"3.397";"3.704";"4.040";"4.201";"4.211";"4.102";"4.098";"4.011";"3.906";"3.753";"3.646";"3.503";"3.384";"3.362";"3.509";"3.659";"3.835";"4.006";"4.098";"4.229";"4.369";"4.537";"4.706";"4.844";"4.832";"4.887";"4.918";
;"    Kinder- und Jugendpsychiatrie und -psychotherapie";".";".";".";".";".";".";".";".";".";".";".";".";"152";"198";"224";"225";"244";"262";"264";"282";"303";"306";"319";"323";"336";"347";"375";"411";"444";"469";"478";"523";"580";"664";"716";"801";"857";"909";"958";
;"       Kinder- und Jugendpsychiatrie und -psychotherapie";".";".";".";".";".";".";".";".";".";".";".";".";"152";"198";"224";"225";"244";"262";"264";"282";"303";"306";"319";"323";"336";"347";"375";"411";"444";"469";"478";"523";"580";"664";"716";"801";"857";"909";"958";
;"    Laboratoriumsmedizin";".";".";".";".";".";".";".";".";".";".";".";".";"339";"368";"402";"426";"425";"402";"392";"378";"364";"331";"316";"295";"280";"279";"290";"291";"300";"328";"365";"385";"417";"427";"444";"444";"463";"474";"489";
;"       Laboratoriumsmedizin";".";".";".";".";".";".";".";".";".";".";".";".";"339";"368";"402";"426";"425";"402";"392";"378";"364";"331";"316";"295";"280";"279";"290";"291";"300";"328";"365";"385";"417";"427";"444";"444";"463";"474";"489";
;"    Mikrobiologie, Virologie, Infektionsepidemiologie";".";".";".";".";".";".";".";".";".";".";".";".";"187";"200";"216";"222";"212";"201";"195";"195";"178";"177";"167";"165";"162";"162";"169";"185";"191";"209";"229";"256";"270";"291";"302";"310";"314";"327";"348";
;"       Mikrobiologie, Virologie und Infektionsepidemiologie";".";".";".";".";".";".";".";".";".";".";".";".";"187";"200";"216";"222";"212";"201";"195";"195";"178";"177";"167";"165";"162";"162";"169";"185";"191";"209";"229";"256";"270";"291";"302";"310";"314";"327";"348";
;"    Mund-Kiefer-Gesichtschirurgie";".";".";".";".";".";".";".";".";".";".";".";".";"144";"162";"175";"201";"207";"225";"243";"281";"301";"324";"328";"344";"350";"360";"381";"397";"410";"420";"447";"484";"516";"558";"585";"619";"649";"658";"694";
;"       Mund-Kiefer-Gesichtschirurgie";".";".";".";".";".";".";".";".";".";".";".";".";"144";"162";"175";"201";"207";"225";"243";"281";"301";"324";"328";"344";"350";"360";"381";"397";"410";"420";"447";"484";"516";"558";"585";"619";"649";"658";"694";
;"    Nervenheilkunde";".";".";".";".";".";".";".";".";".";".";".";".";"1.830";"2.039";"2.306";"2.498";"2.529";"2.471";"2.473";"2.470";"2.389";"2.350";"2.275";"2.148";"2.075";"2.010";"2.009";"1.997";"1.935";"1.898";"1.818";"1.696";"1.578";"1.416";"1.276";"1.111";"959";"825";"706";
;"       Nervenheilkunde";".";".";".";".";".";".";".";".";".";".";".";".";"1.830";"2.039";"2.306";"2.498";"2.529";"2.471";"2.473";"2.470";"2.389";"2.350";"2.275";"2.148";"2.075";"2.010";"2.009";"1.997";"1.935";"1.898";"1.818";"1.696";"1.578";"1.416";"1.276";"1.111";"959";"825";"706";
;"    Neurochirurgie";".";".";".";".";".";".";".";".";".";".";".";".";"131";"142";"159";"172";"194";"195";"201";"207";"218";"220";"230";"234";"255";"262";"297";"319";"349";"376";"404";"440";"477";"531";"578";"634";"673";"693";"763";
;"       Neurochirurgie";".";".";".";".";".";".";".";".";".";".";".";".";"131";"142";"159";"172";"194";"195";"201";"207";"218";"220";"230";"234";"255";"262";"297";"319";"349";"376";"404";"440";"477";"531";"578";"634";"673";"693";"763";
;"    Neurologie";".";".";".";".";".";".";".";".";".";".";".";".";"232";"257";"281";"284";"290";"260";"271";"279";"359";"303";"311";"348";"379";"513";"597";"563";"636";"732";"816";"962";"1.124";"1.329";"1.485";"1.709";"1.919";"2.091";"2.266";
;"       Neurologie";".";".";".";".";".";".";".";".";".";".";".";".";"232";"257";"281";"284";"290";"260";"271";"279";"359";"303";"311";"348";"379";"513";"597";"563";"636";"732";"816";"962";"1.124";"1.329";"1.485";"1.709";"1.919";"2.091";"2.266";
;"    Nuklearmedizin";".";".";".";".";".";".";".";".";".";".";".";".";"146";"158";"187";"197";"202";"207";"201";"241";"224";"222";"211";"213";"197";"194";"210";"228";"241";"267";"306";"345";"358";"396";"427";"467";"485";"504";"520";
;"       Nuklearmedizin";".";".";".";".";".";".";".";".";".";".";".";".";"146";"158";"187";"197";"202";"207";"201";"241";"224";"222";"211";"213";"197";"194";"210";"228";"241";"267";"306";"345";"358";"396";"427";"467";"485";"504";"520";
;"    Öffentliches Gesundheitswesen";".";".";".";".";".";".";".";".";".";".";".";".";"214";"248";"359";"392";"388";"434";"432";"464";"465";"477";"476";"478";"485";"510";"538";"564";"593";"585";"575";"561";"536";"520";"504";"463";"424";"390";"365";
;"       Öffentliches Gesundheitswesen";".";".";".";".";".";".";".";".";".";".";".";".";"214";"248";"359";"392";"388";"434";"432";"464";"465";"477";"476";"478";"485";"510";"538";"564";"593";"585";"575";"561";"536";"520";"504";"463";"424";"390";"365";
;"    Pathologie";".";".";".";".";".";".";".";".";".";".";".";".";"410";"462";"489";"509";"507";"481";"461";"466";"446";"426";"409";"383";"371";"364";"395";"434";"470";"483";"511";"549";"560";"611";"638";"666";"659";"664";"671";
;"       Neuropathologie";".";".";".";".";".";".";".";".";".";".";".";".";"8";"8";"10";"11";"10";"14";"12";"12";"11";"11";"11";"7";"8";"6";"9";"10";"15";"18";"20";"27";"32";"41";"39";"43";"41";"44";"46";
;"       Pathologie";".";".";".";".";".";".";".";".";".";".";".";".";"402";"454";"479";"498";"497";"467";"449";"454";"435";"415";"398";"376";"363";"358";"386";"424";"455";"465";"491";"522";"528";"570";"599";"623";"618";"620";"625";
;"    Pharmakologie";".";".";".";".";".";".";".";".";".";".";".";".";"170";"187";"191";"199";"198";"199";"193";"190";"190";"181";"162";"154";"140";"134";"146";"152";"161";"173";"184";"192";"193";"203";"212";"223";"222";"218";"213";
;"       Klinische Pharmakologie";".";".";".";".";".";".";".";".";".";".";".";".";"20";"24";"31";"43";"47";"50";"57";"61";"63";"61";"56";"57";"55";"57";"66";"71";"71";"78";"82";"88";"90";"98";"106";"111";"111";"112";"116";
;"       Pharmakologie und Toxikologie";".";".";".";".";".";".";".";".";".";".";".";".";"150";"163";"160";"156";"151";"149";"136";"129";"127";"120";"106";"97";"85";"77";"80";"81";"90";"95";"102";"104";"103";"105";"106";"112";"111";"106";"97";
;"    Physikalische und Rehabilitative Medizin";".";".";".";".";".";".";".";".";".";".";".";".";"97";"107";"122";"143";"198";"319";"395";"436";"451";"523";"563";"614";"657";"673";"714";"733";"766";"781";"817";"853";"849";"865";"871";"877";"894";"890";"864";
;"       Physikalische und Rehabilitative Medizin";".";".";".";".";".";".";".";".";".";".";".";".";"97";"107";"122";"143";"198";"319";"395";"436";"451";"523";"563";"614";"657";"673";"714";"733";"766";"781";"817";"853";"849";"865";"871";"877";"894";"890";"864";
;"    Physiologie";".";".";".";".";".";".";".";".";".";".";".";".";"40";"48";"48";"43";"46";"48";"49";"48";"41";"40";"42";"32";"31";"32";"34";"37";"38";"42";"43";"46";"50";"55";"55";"54";"51";"51";"48";
;"       Physiologie";".";".";".";".";".";".";".";".";".";".";".";".";"40";"48";"48";"43";"46";"48";"49";"48";"41";"40";"42";"32";"31";"32";"34";"37";"38";"42";"43";"46";"50";"55";"55";"54";"51";"51";"48";
;"    Psychiatrie und Psychotherapie";".";".";".";".";".";".";".";".";".";".";".";".";"266";"307";"377";"432";"463";"529";"608";"684";"802";"967";"1.085";"1.231";"1.365";"1.520";"1.793";"1.962";"2.213";"2.399";"2.752";"3.042";"3.433";"3.870";"4.183";"4.597";"4.892";"5.159";"5.353";
;"       Psychiatrie und Psychotherapie";".";".";".";".";".";".";".";".";".";".";".";".";"266";"307";"377";"432";"463";"529";"608";"684";"802";"967";"1.085";"1.231";"1.365";"1.520";"1.793";"1.962";"2.213";"2.399";"2.752";"3.042";"3.433";"3.870";"4.183";"4.597";"4.892";"5.159";"5.353";
;"    Psychosomatische Medizin und Psychotherapie";".";".";".";".";".";".";".";".";".";".";".";".";"22";"27";"34";"56";"175";"509";"804";"1.093";"1.270";"1.490";"1.582";"1.715";"1.776";"1.797";"1.865";"1.907";"1.937";"1.883";"1.853";"1.814";"1.740";"1.621";"1.572";"1.502";"1.434";"1.378";"1.294";
;"       Psychosomatische Medizin und Psychotherapie";".";".";".";".";".";".";".";".";".";".";".";".";"22";"27";"34";"56";"175";"509";"804";"1.093";"1.270";"1.490";"1.582";"1.715";"1.776";"1.797";"1.865";"1.907";"1.937";"1.883";"1.853";"1.814";"1.740";"1.621";"1.572";"1.502";"1.434";"1.378";"1.294";
;"    Radiologie";".";".";".";".";".";".";".";".";".";".";".";".";"1.317";"1.462";"1.618";"1.706";"1.636";"1.784";"1.807";"1.842";"1.847";"1.800";"1.810";"1.788";"1.795";"1.816";"1.960";"2.039";"2.181";"2.281";"2.411";"2.537";"2.742";"2.908";"3.021";"3.154";"3.147";"3.210";"3.224";
;"       Radiologie";".";".";".";".";".";".";".";".";".";".";".";".";"1.317";"1.462";"1.618";"1.706";"1.636";"1.784";"1.807";"1.842";"1.847";"1.800";"1.810";"1.788";"1.795";"1.816";"1.960";"2.039";"2.181";"2.281";"2.411";"2.537";"2.742";"2.908";"3.021";"3.154";"3.147";"3.210";"3.224";
;"    Rechtsmedizin";".";".";".";".";".";".";".";".";".";".";".";".";"70";"76";"80";"80";"79";"79";"85";"79";"73";"67";"65";"64";"63";"66";"66";"65";"69";"76";"79";"78";"80";"80";"83";"83";"84";"85";"80";
;"       Rechtsmedizin";".";".";".";".";".";".";".";".";".";".";".";".";"70";"76";"80";"80";"79";"79";"85";"79";"73";"67";"65";"64";"63";"66";"66";"65";"69";"76";"79";"78";"80";"80";"83";"83";"84";"85";"80";
;"    Strahlentherapie";".";".";".";".";".";".";".";".";".";".";".";".";"36";"34";"39";"46";"53";"75";"87";"97";"106";"109";"106";"125";"143";"149";"171";"179";"210";"243";"267";"314";"364";"406";"447";"502";"529";"579";"591";
;"       Strahlentherapie";".";".";".";".";".";".";".";".";".";".";".";".";"36";"34";"39";"46";"53";"75";"87";"97";"106";"109";"106";"125";"143";"149";"171";"179";"210";"243";"267";"314";"364";"406";"447";"502";"529";"579";"591";
;"    Transfusionsmedizin";".";".";".";".";".";".";".";".";".";".";".";".";"45";"55";"59";"62";"73";"100";"112";"117";"123";"124";"105";"110";"116";"123";"134";"151";"168";"178";"195";"213";"240";"266";"277";"298";"320";"331";"325";
;"       Transfusionsmedizin";".";".";".";".";".";".";".";".";".";".";".";".";"45";"55";"59";"62";"73";"100";"112";"117";"123";"124";"105";"110";"116";"123";"134";"151";"168";"178";"195";"213";"240";"266";"277";"298";"320";"331";"325";
;"    Urologie";".";".";".";".";".";".";".";".";".";".";".";".";"1.002";"1.145";"1.277";"1.355";"1.383";"1.394";"1.404";"1.402";"1.378";"1.352";"1.303";"1.243";"1.251";"1.260";"1.341";"1.392";"1.457";"1.549";"1.593";"1.683";"1.748";"1.861";"1.921";"1.983";"2.006";"2.087";"2.127";
;"       Urologie";".";".";".";".";".";".";".";".";".";".";".";".";"1.002";"1.145";"1.277";"1.355";"1.383";"1.394";"1.404";"1.402";"1.378";"1.352";"1.303";"1.243";"1.251";"1.260";"1.341";"1.392";"1.457";"1.549";"1.593";"1.683";"1.748";"1.861";"1.921";"1.983";"2.006";"2.087";"2.127";
;"    Sonstige Gebiete";".";".";".";".";".";".";".";".";".";".";".";".";"229";"291";"289";"285";"275";"280";"233";"221";"214";"203";"195";"164";"157";"142";"143";"152";"150";"144";"138";"128";"114";"105";"96";"84";"73";"52";"41";
;"       Sozialhygiene";".";".";".";".";".";".";".";".";".";".";".";".";"110";"144";"114";"139";"142";"125";"114";"95";"88";"76";"65";"44";"38";"30";"29";"28";"27";"26";"24";"21";"17";"17";"16";"13";"11";"8";"5";
;"       Sportmedizin";".";".";".";".";".";".";".";".";".";".";".";".";"104";"115";"125";"92";"87";"101";"73";"70";"63";"56";"52";"47";"48";"39";"37";"42";"46";"44";"44";"44";"38";"39";"33";"31";"28";"17";"15";
;"       Sonstige Facharztbezeichnungen";".";".";".";".";".";".";".";".";".";".";".";".";"15";"32";"50";"54";"46";"54";"46";"56";"63";"71";"78";"73";"71";"73";"77";"82";"77";"74";"70";"63";"59";"49";"47";"40";"34";"27";"21";
;"    Ohne Gebiet";".";".";".";".";".";".";".";".";".";".";".";".";"9.150";"10.204";"11.148";"11.384";"11.337";"9.778";"9.854";"10.112";"10.545";"10.979";"11.550";"12.126";"12.786";"13.286";"13.620";"14.453";"14.756";"15.302";"15.916";"16.416";"16.805";"17.173";"17.326";"17.381";"16.889";"16.503";"16.106";
;"       Ohne Facharztbezeichnung";".";".";".";".";".";".";".";".";".";".";".";".";"8.297";"8.829";"9.744";"9.420";"8.752";"7.934";"7.961";"8.168";"8.535";"8.906";"9.207";"9.811";"10.360";"10.801";"11.497";"11.963";"12.182";"12.607";"13.136";"13.536";"13.875";"14.118";"14.315";"14.481";"14.183";"14.030";"13.940";
;"       Praktische Ärztin/Praktischer Arzt";".";".";".";".";".";".";".";".";".";".";".";".";"853";"1.375";"1.404";"1.964";"2.585";"1.844";"1.893";"1.944";"2.010";"2.073";"2.343";"2.315";"2.426";"2.485";"2.123";"2.490";"2.574";"2.695";"2.780";"2.880";"2.930";"3.055";"3.011";"2.900";"2.706";"2.473";"2.166";
"    60 bis unter 66 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";".";".";".";".";".";".";".";".";".";".";".";".";"12.362";"12.547";"13.091";"14.212";"16.187";"18.210";"20.744";"23.780";"27.945";"31.914";"35.619";"39.130";"42.362";"43.941";"43.068";"40.924";"39.431";"39.248";"39.490";"40.644";"44.176";"47.506";"49.356";"51.174";"51.744";"52.417";"53.404";
;"    Allgemeinmedizin";".";".";".";".";".";".";".";".";".";".";".";".";"1.462";"1.452";"1.476";"1.639";"1.907";"2.378";"2.802";"3.466";"4.286";"5.148";"5.842";"6.700";"7.431";"7.796";"8.063";"7.613";"7.692";"7.866";"8.273";"8.824";"9.678";"10.366";"10.656";"10.737";"10.356";"10.029";"9.768";
;"       Allgemeinmedizin";".";".";".";".";".";".";".";".";".";".";".";".";"1.462";"1.452";"1.476";"1.639";"1.907";"2.378";"2.802";"3.466";"4.286";"5.148";"5.842";"6.700";"7.431";"7.796";"8.063";"7.613";"7.692";"7.866";"8.273";"8.824";"9.678";"10.366";"10.656";"10.737";"10.356";"10.029";"9.768";
;"    Anästhesiologie";".";".";".";".";".";".";".";".";".";".";".";".";"354";"383";"440";"485";"539";"671";"801";"941";"1.150";"1.364";"1.519";"1.717";"1.855";"1.981";"1.970";"1.937";"2.001";"2.013";"2.066";"2.174";"2.427";"2.728";"2.904";"3.189";"3.371";"3.585";"3.769";
;"       Anästhesiologie";".";".";".";".";".";".";".";".";".";".";".";".";"354";"383";"440";"485";"539";"671";"801";"941";"1.150";"1.364";"1.519";"1.717";"1.855";"1.981";"1.970";"1.937";"2.001";"2.013";"2.066";"2.174";"2.427";"2.728";"2.904";"3.189";"3.371";"3.585";"3.769";
;"    Anatomie";".";".";".";".";".";".";".";".";".";".";".";".";"2";"6";"13";"10";"17";"20";"25";"32";"40";"39";"41";"39";"38";"34";"27";"24";"20";"16";"11";"6";"7";"13";"14";"16";"25";"32";"30";
;"       Anatomie";".";".";".";".";".";".";".";".";".";".";".";".";"2";"6";"13";"10";"17";"20";"25";"32";"40";"39";"41";"39";"38";"34";"27";"24";"20";"16";"11";"6";"7";"13";"14";"16";"25";"32";"30";
;"    Arbeitsmedizin";".";".";".";".";".";".";".";".";".";".";".";".";"159";"165";"177";"214";"228";"283";"321";"393";"446";"501";"558";"609";"664";"676";"678";"630";"581";"556";"527";"534";"579";"636";"687";"732";"744";"757";"765";
;"       Arbeitsmedizin";".";".";".";".";".";".";".";".";".";".";".";".";"159";"165";"177";"214";"228";"283";"321";"393";"446";"501";"558";"609";"664";"676";"678";"630";"581";"556";"527";"534";"579";"636";"687";"732";"744";"757";"765";
;"    Augenheilkunde";".";".";".";".";".";".";".";".";".";".";".";".";"414";"435";"435";"446";"515";"561";"660";"711";"843";"967";"1.067";"1.170";"1.246";"1.260";"1.219";"1.166";"1.095";"1.058";"1.039";"1.053";"1.095";"1.119";"1.124";"1.155";"1.153";"1.169";"1.236";
;"       Augenheilkunde";".";".";".";".";".";".";".";".";".";".";".";".";"414";"435";"435";"446";"515";"561";"660";"711";"843";"967";"1.067";"1.170";"1.246";"1.260";"1.219";"1.166";"1.095";"1.058";"1.039";"1.053";"1.095";"1.119";"1.124";"1.155";"1.153";"1.169";"1.236";
;"    Biochemie";".";".";".";".";".";".";".";".";".";".";".";".";"3";"3";"6";"10";"9";"10";"13";"19";"23";"25";"28";"31";"25";"21";"15";"16";"16";"16";"16";"15";"17";"17";"22";"19";"19";"23";"15";
;"       Biochemie";".";".";".";".";".";".";".";".";".";".";".";".";"3";"3";"6";"10";"9";"10";"13";"19";"23";"25";"28";"31";"25";"21";"15";"16";"16";"16";"16";"15";"17";"17";"22";"19";"19";"23";"15";
